index,year,Greenland,North America,Norway,Svalbard,Iceland,Russian High Arctic Islands,Finland,Eurasia,North Atlantic,Gulf of Bothnia,Baffin Bay,Hudson Bay,Arctic Ocean,Northern Hemisphere,Global,Arctic
48,1998,-17.77029949426651,-8.568884174029032,1.5235541711250942,-9.011525792380175,1.8599549333254497,-13.368393058578173,1.040934145450592,-8.09779266330103,-0.7436422382791837,4.457887460788091,-7.173437386751175,-8.119983578721682,-13.092418919006983,5.549586007992427,5.30016831556956,-12.102114667495092
49,1999,-18.884970545768738,-10.320630391438803,2.082082519928614,-6.787932907541593,2.075555736819903,-11.76783686876297,2.2663345336914062,-7.402355253696442,-0.8298677735341092,5.1813691556453705,-8.748821804920832,-7.996863603591919,-13.13113675483813,5.402875930070877,5.104597647984822,-12.308970267573992
50,2000,-18.293931285540264,-9.972799261411032,2.915438969930013,-6.999396524081628,2.3360202511151633,-10.727358346184095,3.6520294112463794,-7.050392727057139,-0.8693410108486811,5.819859519600868,-7.6321114500363665,-8.534141453603903,-12.574122151980797,5.500702627003193,5.132458388805389,-11.830608735481897
51,2001,-18.132045805454254,-9.608692208925882,1.6233044788241386,-7.37926681091388,2.5809731210271516,-10.798365270098051,2.0218127171198526,-6.971613168716431,-0.9575424715876579,5.039576653391123,-7.598897725343704,-7.9411352177460985,-12.54363641468808,5.624666929244995,5.300328175226848,-11.773417750994364
52,2002,-17.71811290582021,-9.621669858694077,2.4039825797080994,-7.896858861049016,2.887440472841263,-12.277326049904028,2.05363130569458,-6.709123820066452,-0.1554044485092163,5.352021596084039,-7.403052121400833,-9.241231843829155,-12.372473306953907,5.693485129624605,5.47291378180186,-11.563769141832987
53,2003,-17.289336144924164,-9.334433873494467,2.518847388525804,-8.930721702675024,3.6230883498986564,-12.6026028941075,2.6139062251895666,-5.999193390210469,-0.17713900407155356,4.7147074689467745,-6.146035107473533,-8.053659255305925,-12.844638019800186,5.698126624027888,5.3612374265988665,-11.674722462892532
54,2004,-18.130143741766613,-10.831668158372244,2.474112331867218,-6.960501656731746,3.358856583635012,-11.728159671028456,2.630438953638077,-7.079154580831528,-0.16190014282862344,5.249231666326523,-7.587870235244433,-9.720621983210245,-12.817393491665522,5.558631882071495,5.2489126324653625,-12.072363913059235
55,2005,-16.923964460690815,-9.257137581706047,2.7697613748411336,-6.055681909124057,2.535067819058895,-9.395998402809104,3.4206774532794952,-5.509719630082448,-0.19806940853595734,5.609195296963056,-6.314742058515549,-7.968700075522065,-11.46135721107324,6.111015722155571,5.607028126716614,-10.67823146780332
56,2006,-17.77342555920283,-8.555554836988449,3.1570487717787423,-4.779232735435168,3.0616991023222604,-9.723549543569485,2.8488992750644684,-6.975158919890721,-0.04563919206460317,5.76887442668279,-6.420638208587964,-6.619632626573245,-11.453893619279066,6.040444940328598,5.508241832256317,-10.780253320932388
57,2007,-18.10534272591273,-9.829928666353226,2.6162986184159913,-5.704655374089877,2.905807069813212,-9.145752971371016,3.217987831681967,-5.149790187676747,-0.37445033093293506,5.650197570522626,-6.976507246494293,-8.498857016364733,-10.958753692607084,6.145973578095436,5.575269142786662,-10.538360496362051
58,2008,-17.98762975136439,-10.166438578317562,2.6823859363794327,-7.083729325483243,2.702706099798282,-9.836954106887182,3.1737342476844788,-5.526108920574188,-0.4333674410978953,6.180801838636398,-7.651742666959763,-8.036876449982325,-11.685296647250652,5.88405791670084,5.3528514703114825,-11.052242954572042
59,2009,-18.530172248681385,-9.68460895617803,2.206686109304428,-6.418771108360185,2.9549526323874793,-10.031172762314478,2.3387810488541922,-6.861401736736298,-0.3045801023642222,5.218461523453395,-6.891797378659248,-7.693617964784305,-11.311656107505163,5.880784139037132,5.5043997168540955,-10.930518507957458
60,2010,-15.890119791030884,-7.67467138171196,0.25765607754389447,-7.093170899897814,3.1202679922183356,-10.283480708797773,1.300224761168162,-6.73345007499059,-0.3150692880153656,3.578026476626595,-4.537414838870366,-5.225627412398656,-11.931519374251366,6.077034505705039,5.54827215274175,-10.793315142393112
61,2011,-18.46815876166026,-9.421507994333902,3.2481056849161782,-6.4589976867039995,2.725125147650639,-7.659983997543653,3.517415702342987,-5.236937860647838,-0.11626371741294861,5.494959195454915,-7.249746739864349,-7.6201962033907575,-11.058237378795942,6.052200638999541,5.561479151248932,-10.470071723063787
62,2012,-17.163838426272076,-9.483533183733622,1.5566281154751778,-4.184187481800715,2.9989181210597358,-6.664998988310496,1.8745075861612956,-5.81714528799057,-0.30665260305007297,5.120814109841983,-6.499899024764697,-7.286565477649371,-10.403330013155937,6.205602027475834,5.5608713030815125,-10.035142670075098
63,2013,-18.41818352540334,-9.923044741153717,2.5150775785247483,-6.300180008014043,2.6298129111528397,-9.962548737724623,3.5799740701913834,-6.0611697634061175,-0.4893144890666008,5.565402522683144,-7.010145877798398,-8.641296108563742,-11.787336512158314,5.8998391181230545,5.5374563336372375,-11.213652948538462
64,2014,-17.719185292720795,-9.411869915823141,3.502129316329956,-5.623136366717517,3.7703084709743657,-9.87954064210256,3.6333654522895813,-6.133308847745259,0.4395856608947118,6.314214458068212,-6.715757797161738,-8.098760336637497,-10.968598556394378,6.152615291376908,5.579530159632365,-10.521711081266403
65,2015,-19.04051907857259,-9.414590055743853,3.1609701017538705,-5.238748360114793,2.3399687527368465,-8.521518141031265,3.9716664577523866,-5.399272660414378,0.03174752245346705,6.717930426200231,-8.323345492283503,-9.068370044231415,-11.328973323106766,6.235319306453069,5.644961694876353,-10.807214945554733
66,2016,-16.208442131678265,-8.095911194880804,2.8016481151183448,-2.6134305422504744,3.6878184098750353,-6.631300670405229,3.4252849419911704,-5.184524476528168,0.9362552932774028,5.675004713237286,-6.052082349856694,-7.708227078119914,-9.559473102291426,6.803248956799507,6.015088518460591,-9.144852976004282
67,2017,-17.6045583486557,-8.883735656738281,2.3790026530623436,-5.250338569283485,3.512317934383949,-8.455396895607313,2.715132027864456,-5.1535715113083524,0.44278330107529956,5.616524720719705,-7.110628614823024,-7.996962447961171,-10.737782292068005,6.439007098476092,5.860331773757935,-10.189691861470541
68,2018,-17.961562474568684,-9.584460745255152,2.6235025798281035,-4.212771064912279,3.045379857222239,-8.633964957863403,3.493283733725548,-5.612087527910869,0.7344258030255636,6.0459605405728025,-8.330489928523699,-9.394023090600967,-10.452092297375202,6.3314370935161906,5.869132022062938,-10.146926323572794
69,2019,-16.697657624880474,-8.267471874753634,2.422789295514425,-6.680914024511973,3.0097998778025308,-9.476755074070146,2.950892080863317,-5.062967598438263,0.12757407625516257,5.630399624506633,-6.00366015235583,-7.716853787501653,-11.337604398528734,6.384872563183308,5.90122777223587,-10.403458793958029
70,2020,-17.93432738383611,-9.426914195219675,3.724784438808759,-6.723485837380092,2.577321033924818,-7.375326169033845,4.571457030872504,-3.535103142261505,-0.022579123576482136,7.293297931551933,-6.788790521522363,-7.850893159707387,-10.41556898256143,6.688315798838933,6.010349929332733,-9.831908444563547
